provider_name,channel,status,provider_status,provider_message,region_id,message_count,error_type
spotflow_accounts,bank_transfer,failed,failed,Generic failure response,1,1,processing_error
spotflow_accounts,bank_transfer,failed,not_found,Transaction not found,1,149,provider_error
spotflow_accounts,bank_transfer,failed,provider_error,Unable to process transaction,1,5,processing_error
spotflow_accounts,card,failed,failed,Expired Card,1,1,customer_error
spotflow_accounts,card,failed,failed,Invalid card number,1,1,customer_error
spotflow_accounts,card,failed,failed,Merchant not enabled for international transactions,1,9,customer_error
spotflow_accounts,card,failed,send_pin,Payment verification failed,1,19,processing_error
tembo_plus,mobile_money,failed,NULL,,6,22,provider_error
tembo_plus,mobile_money,failed,FAILED,Payment failed,6,81,provider_error
tembo_plus,mobile_money,failed,INPROGRESS,Payment processed (status mismatch),6,7,processing_error
tembo_plus,mobile_money,failed,provider_error,Unable to process transaction,6,2,processing_error
tembo_plus,mobile_money,failed,NULL,{Amount : \Amount\ Must Be Greater Than Or Equal To #},6,1,customer_error
